Carimbo de data/hora;Gênero? ;Idade?;Estado Civil?;Quantos filhos possui?;Qual é o seu grau de escolaridade ?;Qual sua graduação?;Há quanto tempo você é militar?;Na área de qual Distrito Naval você servia antes do curso?;Quantas pessoas residem com você?;Quantas pessoas residem com você contribuem para o orçamento familiar?;Quantas pessoas não residem na mesma casa contribuem para o orçamento?;Até que parcela do orçamento essas pessoas que não residem contribuem?;Você contribui financeiramente com outra pessoa que não mora com você?;Até que parcela do orçamento você contribui  com pessoas que não residem na mesma casa que você?;Quantos cartões de crédito você possui?;Quantas contas bancárias você mantém?;Você investe/poupa parte do seu salário?;Que parte dessa quantia poupada fica em caderneta de poupança?;Por qual motivo você poupa parte do seu salário?;Você tem o hábito de anotar seus gastos?;Você conhece ferramentas que auxiliam no planejamento financeiro pessoal?;Quantas vezes você já deixou de pagar o valor total do cartão de crédito ou utilizou o cheque especial?;Você já pegou algum empréstimo em instituição financeira?;Você tem algum tipo de dívida (empréstimos, financiamentos, rotativo do cartão)?;Qual parte do seu orçamento está comprometido com dívidas acima de 12 meses?;Durante a Infância/adolescência alguém conversou com você sobre poupança, investimentos e demais assuntos ligados às finanças pessoais?;De quantas palestras sobre educação financeira ministradas pela Marinha você já participou?;Onde você adquiriu a maior parte dos seus conhecimentos para gerir o seu dinheiro?;Como você classificaria sua segurança em relação aos seus conhecimentos?
9/4/2018 14:12:13;Masculino;De 26 a 30 anos;Casado (a)/União Estável;0;Ensino Médio Completo;Cabo;Mais de 10 anos;1;1;1;0;;0;;1;1;Mais de 30%;30%;Comprar minha casa, Para certas emergências;Não registro;Conheço mas não utilizo;0;Nunca;Não tenho dívidas pessoais;0%;Não;4 ou mais;Da minha experiência prática;Excelente
9/4/2018 14:13:17;Masculino;De 26 a 30 anos;Casado (a)/União Estável;2;Ensino Médio Completo;Cabo;Mais de 10 anos;1;4 ou mais;1;0;;0;;1;2;0%;0%;;Diariamente  e analiso para planejar-me;Utilizo e são muito úteis para a minha vida;3;Pagar uma dívida;Acima de 24 meses com prestação em dia.;20%;Não;3;Na internet;Moderada
9/4/2018 14:14:18;Masculino;De 26 a 30 anos;Solteiro (a);0;Ensino Superior Incompleto;Cabo;Mais de 10 anos;1;1;1;0;;0;;1;1;10%;10%;Outros fins;Diariamente  e analiso para planejar-me;Utilizo e são muito úteis para a minha vida;0;Nunca;Não tenho dívidas pessoais;10%;Sim;2;Da minha experiência prática;Satisfatório
9/4/2018 14:15:25;Masculino;De 26 a 30 anos;Solteiro (a);0;Ensino Superior Completo;Cabo;Mais de 10 anos;1;3;0;0;;0;;1;2;0%;0%;;Diariamente  e analiso para planejar-me;Sim. Já utilizei por algum tempo;0;;Acima de 24 meses com prestação em dia.;Mais de 30%;Não;3;Na internet;Moderada
9/4/2018 14:16:36;Masculino;De 26 a 30 anos;Solteiro (a);0;Ensino Médio Completo;Cabo;Mais de 10 anos;1;2;2;0;;0;;1;2;0%;0%;;Não registro;Não;4 ou mais;Pagar uma dívida;Acima de 24 meses com prestação em dia.;20%;Sim;1;Em casa com a família;Moderada
9/4/2018 14:20:06;Masculino;Acima de 30 anos;Solteiro (a);0;Ensino Superior Completo;Cabo;Mais de 10 anos;7;2;1;0;;0;;2;1;10%;0%;Comprar minha casa, Para certas emergências, Para realizar viagens;Diariamente  e analiso para planejar-me;Utilizo e são muito úteis para a minha vida;0;Outro;Não tenho dívidas pessoais;0%;Não;3;Em aulas na universidade, Da minha experiência prática;Moderada
9/4/2018 14:22:40;Masculino;De 26 a 30 anos;Casado (a)/União Estável;1;Ensino Superior Incompleto;Cabo;Mais de 10 anos;1;2;0;0;;3;20%;1;2;0%;0%;;Raramente e não analiso os grupos;Sim. Já utilizei por algum tempo;4 ou mais;Outro;Acima de 24 meses com prestação em dia.;Mais de 30%;Não;0;Da minha experiência prática;Moderada
9/4/2018 14:24:20;Masculino;De 26 a 30 anos;Casado (a)/União Estável;1;Ensino Médio Completo;Cabo;Mais de 10 anos;1;1;1;1;40%;1;30%;0;1;0%;0%;;Raramente e não analiso os grupos;Conheço mas não utilizo;2;Comprar carro/moto;Acima de 24 meses com prestação em dia.;0%;Sim;3;Em casa com a família;Inseguro
9/4/2018 14:26:33;Masculino;Acima de 30 anos;Solteiro (a);0;Ensino Médio Completo;Cabo;Mais de 10 anos;1;1;1;0;;1;5%;1;2;10%;10%;Comprar minha casa, Comprar carro/moto, Para certas emergências, Para realizar viagens, Outros fins;Diariamente  e analiso para planejar-me;Sim. Já utilizei por algum tempo;4 ou mais;Comprar carro/moto;Abaixo de 24 meses com prestação em dia;20%;Sim;2;Em conversa com amigos, Na internet, Da minha experiência prática, Em palestras ministradas na Marinha;Moderada
9/4/2018 14:28:13;Masculino;Acima de 30 anos;Casado (a)/União Estável;1;Ensino Superior Incompleto;Cabo;Mais de 10 anos;1;2;0;0;;0;;2;1;0%;0%;;Raramente e não analiso os grupos;Conheço mas não utilizo;4 ou mais;Pagar uma dívida;Acima de 24 meses com prestação em dia.;Mais de 30%;Não;1;Da minha experiência prática;Inseguro
9/4/2018 14:29:31;Masculino;De 26 a 30 anos;Casado (a)/União Estável;0;Ensino Superior Incompleto;Cabo;Mais de 10 anos;5;1;1;0;;1;30%;1;1;20%;0%;Outros fins;Não registro;Sim. Já utilizei por algum tempo;0;Outro;Não tenho dívidas pessoais;0%;Não;1;Na internet;Satisfatório
9/4/2018 14:30:48;Masculino;Acima de 30 anos;Casado (a)/União Estável;1;Ensino Médio Completo;Cabo;Mais de 10 anos;2;2;0;1;10%;0;;2;2;0%;0%;;Diariamente  e analiso para planejar-me;Conheço mas não utilizo;4 ou mais;Outro;Abaixo de 24 meses com prestação em dia;20%;Sim;2;Em casa com a família;Satisfatório
9/4/2018 14:31:59;Masculino;De 26 a 30 anos;Casado (a)/União Estável;2;Ensino Superior Incompleto;Cabo;Mais de 10 anos;6;3;0;0;;0;;2;2;0%;0%;;Não registro;Não;0;Comprar carro/moto;Acima de 24 meses com prestação em dia.;20%;Não;4 ou mais;Da minha experiência prática;Satisfatório
9/4/2018 14:33:12;Masculino;De 26 a 30 anos;Casado (a)/União Estável;0;Ensino Superior Completo;Cabo;Mais de 10 anos;1;1;0;0;;0;;3;2;0%;0%;;Diariamente  e analiso para planejar-me;Utilizo e são muito úteis para a minha vida;0;Construir/ comprar a casa própria;Acima de 24 meses com prestação em dia.;Mais de 30%;Não;2;Na internet;Moderada
10/4/2018 18:52:34;Masculino;De 26 a 30 anos;Casado (a)/União Estável;1;Ensino Superior Incompleto;Cabo;Mais de 10 anos;1;2;0;0;;0;;1;1;0%;0%;;Diariamente  e analiso para planejar-me;Sim. Já utilizei por algum tempo;0;Comprar carro/moto, Pagar uma dívida;Não tenho dívidas pessoais;0%;Sim;4 ou mais;Em casa com a família, Da minha experiência prática;Moderada
10/4/2018 18:56:40;Masculino;De 26 a 30 anos;Casado (a)/União Estável;0;Ensino Superior Completo;Cabo;Mais de 10 anos;4;3;2;0;;1;10%;1;1;20%;20%;Comprar minha casa;Diariamente  e analiso para planejar-me;Utilizo e são muito úteis para a minha vida;1;;Não tenho dívidas pessoais;0%;Não;4 ou mais;Em aulas na universidade;Satisfatório
10/4/2018 18:57:57;Masculino;De 26 a 30 anos;Casado (a)/União Estável;0;Ensino Superior Incompleto;Cabo;Mais de 10 anos;4;1;1;0;;1;20%;1;1;10%;0%;Outros fins;Diariamente  e analiso para planejar-me;Utilizo e são muito úteis para a minha vida;0;Outro;Acima de 24 meses com prestação em dia.;10%;Não;0;Em revistas, livros, TV e rádio, Na internet;Excelente
10/4/2018 18:59:14;Masculino;De 26 a 30 anos;Casado (a)/União Estável;1;Ensino Médio Completo;Cabo;Mais de 10 anos;2;2;1;0;;1;10%;1;2;10%;10%;Comprar minha casa;Não registro;Conheço mas não utilizo;0;Pagar uma dívida;Acima de 24 meses com prestação em dia.;20%;Sim;2;Da minha experiência prática;Moderada
10/4/2018 19:00:33;Masculino;De 26 a 30 anos;Casado (a)/União Estável;0;Ensino Superior Incompleto;Cabo;Mais de 10 anos;1;3;2;0;;0;;1;1;30%;30%;Outros fins;Raramente e não analiso os grupos;Conheço mas não utilizo;1;Nunca;Acima de 24 meses com prestação em dia.;Mais de 30%;Não;2;Em casa com a família;Moderada
10/4/2018 19:01:51;Masculino;Acima de 30 anos;Solteiro (a);0;Ensino Superior Incompleto;Cabo;Mais de 10 anos;2;1;0;0;;1;5%;1;2;10%;10%;Comprar minha casa, Para certas emergências, Outros fins;Diariamente  e analiso para planejar-me;Sim. Já utilizei por algum tempo;2;Pagar uma dívida;Abaixo de 24 meses com prestação em dia;10%;Não;3;Em revistas, livros, TV e rádio, Na internet, Em palestras ministradas na Marinha;Moderada
10/4/2018 19:02:48;Masculino;Acima de 30 anos;Casado (a)/União Estável;1;Ensino Superior Completo;Cabo;Mais de 10 anos;1;2;1;0;;0;;1;1;0%;0%;;Diariamente  e analiso para planejar-me;Sim. Já utilizei por algum tempo;4 ou mais;Construir/ comprar a casa própria;Acima de 24 meses com prestação em dia.;30%;Sim;3;Em casa com a família, Da minha experiência prática;Satisfatório
10/4/2018 19:04:20;Masculino;De 26 a 30 anos;Casado (a)/União Estável;0;Ensino Médio Completo;Cabo;Entre 8 e 10 anos;1;4 ou mais;1;0;;0;;1;1;0%;0%;;Diariamente  e analiso para planejar-me;Sim. Já utilizei por algum tempo;0;Construir/ comprar a casa própria;Abaixo de 24 meses com prestação em dia;30%;Não;2;Da minha experiência prática;Moderada
10/4/2018 19:05:34;Masculino;De 26 a 30 anos;Casado (a)/União Estável;1;Ensino Superior Incompleto;Cabo;Mais de 10 anos;1;3;0;0;;0;;2;2;0%;0%;;Diariamente  e analiso para planejar-me;Utilizo e são muito úteis para a minha vida;4 ou mais;Comprar carro/moto;Abaixo de 24 meses com prestação em dia;30%;Sim;2;Em casa com a família, Na internet, Da minha experiência prática;Moderada
10/4/2018 19:06:56;Masculino;De 26 a 30 anos;Solteiro (a);0;Ensino Médio Completo;Cabo;Entre 8 e 10 anos;1;3;3;3;;0;;2;1;10%;10%;Comprar minha casa;Não registro;Sim. Já utilizei por algum tempo;0;Pagar uma dívida;Não tenho dívidas pessoais;0%;Não;3;Em casa com a família;Moderada
10/4/2018 19:08:10;Masculino;De 26 a 30 anos;Solteiro (a);0;Ensino Superior Completo;Cabo;Mais de 10 anos;1;3;1;0;;0;;2;1;0%;0%;;Não registro;Não;4 ou mais;Comprar carro/moto, Pagar uma dívida;Acima de 24 meses com prestação em dia.;Mais de 30%;Não;0;Na internet;Inseguro
10/4/2018 19:09:39;Masculino;Acima de 30 anos;Solteiro (a);1;Ensino Médio Completo;Cabo;Entre 8 e 10 anos;1;3;1;0;;0;;2;1;0%;0%;;Não registro;Não;1;Pagar uma dívida;Acima de 24 meses com dificuldade em liquidar;20%;Não;1;Em casa com a família;Moderada
10/4/2018 19:11:01;Masculino;Acima de 30 anos;Casado (a)/União Estável;1;Ensino Superior Completo;Cabo;Mais de 10 anos;1;3;1;0;;2;30%;1;1;10%;10%;Para certas emergências;Diariamente  e analiso para planejar-me;Não;0;Construir/ comprar a casa própria;Não tenho dívidas pessoais;0%;Sim;0;Em casa com a família;Excelente
10/4/2018 21:30:07;Masculino;Acima de 30 anos;Solteiro (a);0;Ensino Superior Completo;Cabo;Mais de 10 anos;1;3;2;0;;0;;0;2;30%;20%;Para certas emergências;Raramente e não analiso os grupos;Sim. Já utilizei por algum tempo;2;Comprar carro/moto;Acima de 24 meses com prestação em dia.;10%;Sim;2;Em aulas na universidade;Satisfatório
10/4/2018 21:32:20;Masculino;De 26 a 30 anos;Casado (a)/União Estável;0;Ensino Superior Incompleto;Cabo;Entre 8 e 10 anos;1;3;1;0;;0;;2;3;30%;0%;Outros fins;Diariamente  e analiso para planejar-me;Utilizo e são muito úteis para a minha vida;0;Pagar uma dívida;Não tenho dívidas pessoais;30%;Não;0;Em conversa com amigos, Na internet, Da minha experiência prática;Excelente
10/4/2018 21:33:58;Masculino;De 26 a 30 anos;Casado (a)/União Estável;1;Ensino Superior Completo;Marinheiro;Entre 8 e 10 anos;1;3;2;1;10%;0;;2;3;0%;0%;;Raramente e não analiso os grupos;Conheço mas não utilizo;4 ou mais;Comprar carro/moto;Acima de 24 meses com prestação em dia.;10%;Sim;1;Em aulas na universidade, Em revistas, livros, TV e rádio, Na internet;Moderada
10/4/2018 21:35:09;Masculino;De 26 a 30 anos;Casado (a)/União Estável;0;Ensino Médio Completo;Cabo;Mais de 10 anos;1;1;1;0;;0;;2;2;0%;0%;;Raramente e não analiso os grupos;Sim. Já utilizei por algum tempo;0;Construir/ comprar a casa própria;Abaixo de 24 meses com dificuldade em liquidar;0%;Sim;0;Em casa com a família;Moderada
10/4/2018 21:36:09;Masculino;De 26 a 30 anos;Solteiro (a);0;Ensino Médio Completo;Cabo;Entre 8 e 10 anos;1;0;0;0;;0;;1;1;0%;0%;;Não registro;Não;0;Pagar uma dívida;Não tenho dívidas pessoais;0%;Não;0;Da minha experiência prática;Moderada
10/4/2018 21:36:41;Masculino;De 26 a 30 anos;Casado (a)/União Estável;0;Ensino Superior Incompleto;Cabo;Mais de 10 anos;1;1;1;0;;0;;1;1;10%;0%;Para certas emergências;Raramente e não analiso os grupos;Não;0;Construir/ comprar a casa própria;Não tenho dívidas pessoais;0%;Não;1;Em conversa com amigos;Moderada
10/4/2018 21:37:42;Masculino;De 26 a 30 anos;Solteiro (a);1;Ensino Médio Completo;Cabo;Mais de 10 anos;1;3;1;0;;1;20%;1;1;0%;0%;;Não registro;Conheço mas não utilizo;2;Pagar uma dívida;Abaixo de 24 meses com prestação em dia;20%;Sim;2;Da minha experiência prática;Moderada
10/4/2018 21:39:12;Masculino;De 26 a 30 anos;Casado (a)/União Estável;0;Ensino Superior Completo;Cabo;Mais de 10 anos;1;1;1;0;;1;10%;1;3;0%;0%;;Diariamente  e analiso para planejar-me;Sim. Já utilizei por algum tempo;4 ou mais;Pagar uma dívida;Abaixo de 24 meses com prestação em dia;20%;Sim;3;Em casa com a família, Em conversa com amigos, Em revistas, livros, TV e rádio, Da minha experiência prática;Moderada
10/4/2018 21:40:26;Masculino;De 26 a 30 anos;Solteiro (a);0;Ensino Superior Incompleto;Cabo;Mais de 10 anos;1;4 ou mais;4 ou mais;0;;0;;1;3;20%;20%;Outros fins;Raramente e não analiso os grupos;Sim. Já utilizei por algum tempo;4 ou mais;Construir/ comprar a casa própria;Acima de 24 meses com prestação em dia.;Mais de 30%;Não;0;Em aulas na universidade, Da minha experiência prática;Moderada
10/4/2018 21:41:09;Masculino;De 26 a 30 anos;Casado (a)/União Estável;1;Ensino Superior Completo;Cabo;Mais de 10 anos;1;4 ou mais;1;0;;0;;2;1;20%;10%;Para certas emergências;Raramente e não analiso os grupos;Conheço mas não utilizo;0;Outro;Não tenho dívidas pessoais;0%;Sim;2;Em casa com a família;Satisfatório
10/4/2018 21:43:30;Masculino;Acima de 30 anos;Casado (a)/União Estável;0;Ensino Médio Completo;Cabo;Mais de 10 anos;1;4 ou mais;4 ou mais;0;;1;10%;2;1;Mais de 30%;Mais de 30%;Comprar minha casa, Para realizar viagens;Raramente e não analiso os grupos;Conheço mas não utilizo;0;Nunca;Não tenho dívidas pessoais;0%;Sim;4 ou mais;Da minha experiência prática;Moderada
10/4/2018 21:44:38;Masculino;De 26 a 30 anos;Casado (a)/União Estável;1;Ensino Superior Incompleto;Cabo;Mais de 10 anos;1;2;1;0;;0;;1;1;0%;0%;;Raramente e não analiso os grupos;Conheço mas não utilizo;4 ou mais;Outro;Acima de 24 meses com prestação em dia.;20%;Não;0;Da minha experiência prática;Moderada
10/4/2018 21:45:23;Masculino;De 26 a 30 anos;Solteiro (a);0;Ensino Médio Completo;Cabo;Entre 8 e 10 anos;4;1;1;0;0;0;0%;0;1;0%;0%;;Raramente e não analiso os grupos;Não;4 ou mais;Pagar uma dívida;Abaixo de 24 meses com prestação em dia;Mais de 30%;Não;2;Em conversa com amigos, Na internet, Da minha experiência prática;Moderada
10/4/2018 21:46:12;Masculino;Acima de 30 anos;Casado (a)/União Estável;0;Ensino Médio Completo;Cabo;Mais de 10 anos;1;1;1;1;30%;2;10%;2;2;10%;10%;Outros fins;Não registro;Conheço mas não utilizo;0;Construir/ comprar a casa própria;Acima de 24 meses com prestação em dia.;30%;Não;0;Em conversa com amigos, Na internet, Da minha experiência prática;Satisfatório
10/4/2018 21:47:27;Masculino;De 26 a 30 anos;Solteiro (a);0;Ensino Superior Completo;Cabo;Mais de 10 anos;1;4 ou mais;3;2;10%;0;;1;1;Mais de 30%;Mais de 30%;Comprar minha casa;Não registro;Conheço mas não utilizo;0;Nunca;Não tenho dívidas pessoais;0%;Sim;3;Da minha experiência prática;Satisfatório
10/4/2018 21:47:37;Masculino;De 26 a 30 anos;Casado (a)/União Estável;0;Ensino Médio Completo;Cabo;Mais de 10 anos;1;1;2;0;;1;10%;2;3;0%;0%;Comprar minha casa;Diariamente  e analiso para planejar-me;Sim. Já utilizei por algum tempo;0;Pagar uma dívida;Acima de 24 meses com prestação em dia.;0%;Sim;0;Em casa com a família;Inseguro
10/4/2018 21:48:29;Masculino;De 26 a 30 anos;Casado (a)/União Estável;0;Ensino Superior Completo;Cabo;Mais de 10 anos;1;1;1;0;;1;;2;2;20%;10%;Para realizar viagens;Diariamente  e analiso para planejar-me;Utilizo e são muito úteis para a minha vida;0;Construir/ comprar a casa própria;Não tenho dívidas pessoais;0%;Sim;1;Em aulas na universidade;Excelente
10/4/2018 21:49:42;Masculino;De 26 a 30 anos;Solteiro (a);0;Ensino Superior Incompleto;Cabo;Mais de 10 anos;6;2;1;0;;0;;1;1;10%;Mais de 30%;Comprar carro/moto;Não registro;Conheço mas não utilizo;0;Nunca;Não tenho dívidas pessoais;0%;Sim;4 ou mais;Da minha experiência prática;Satisfatório
10/4/2018 21:50:18;Masculino;Acima de 30 anos;Solteiro (a);0;Ensino Médio Completo;Cabo;Mais de 10 anos;5;2;2;0;;0;;1;2;10%;0%;Outros fins;Não registro;Não;4 ou mais;Nunca;Não tenho dívidas pessoais;0%;Não;0;Da minha experiência prática;Inseguro
10/4/2018 21:50:41;Masculino;Acima de 30 anos;Casado (a)/União Estável;2;Ensino Superior Incompleto;Cabo;Mais de 10 anos;1;3;0;0;;0;;0;1;10%;0%;Outros fins;Diariamente  e analiso para planejar-me;Utilizo e são muito úteis para a minha vida;4 ou mais;Outro;Acima de 24 meses com prestação em dia.;20%;Não;1;Da minha experiência prática;Satisfatório
10/4/2018 21:51:43;Masculino;De 26 a 30 anos;Casado (a)/União Estável;1;Ensino Médio Completo;Cabo;Mais de 10 anos;1;2;1;0;;0;;0;1;0%;0%;;Diariamente  e analiso para planejar-me;Utilizo e são muito úteis para a minha vida;4 ou mais;Outro;Acima de 24 meses com prestação em dia.;20%;Não;1;Na internet;Moderada
10/4/2018 21:52:44;Masculino;De 26 a 30 anos;Solteiro (a);1;Ensino Médio Completo;Cabo;Mais de 10 anos;2;3;1;0;;0;;2;2;20%;10%;Para certas emergências;Diariamente  e analiso para planejar-me;Utilizo e são muito úteis para a minha vida;0;Nunca;Abaixo de 24 meses com prestação em dia;10%;Sim;1;Em casa com a família;Satisfatório
10/4/2018 21:52:52;Masculino;De 26 a 30 anos;Solteiro (a);0;Ensino Superior Incompleto;Cabo;Mais de 10 anos;7;2;1;0;;3;30%;2;1;10%;Mais de 30%;Para certas emergências, Para realizar viagens;Diariamente  e analiso para planejar-me;Conheço mas não utilizo;4 ou mais;Comprar carro/moto, Pagar uma dívida;Acima de 24 meses com prestação em dia.;Mais de 30%;Não;0;Na internet, Da minha experiência prática;Moderada
10/4/2018 21:53:55;Masculino;De 26 a 30 anos;Casado (a)/União Estável;0;Ensino Superior Incompleto;Cabo;Entre 8 e 10 anos;1;1;1;0;;0;;3;2;10%;10%;Para certas emergências, Outros fins;Diariamente  e analiso para planejar-me;Utilizo e são muito úteis para a minha vida;4 ou mais;Construir/ comprar a casa própria;Abaixo de 24 meses com prestação em dia;20%;Não;2;Em casa com a família, Em conversa com amigos, Em revistas, livros, TV e rádio, Na internet, Em palestras ministradas na Marinha;Moderada
10/4/2018 21:55:42;Masculino;De 26 a 30 anos;Solteiro (a);0;Ensino Superior Incompleto;Cabo;Mais de 10 anos;1;2;1;1;400;0;;1;3;20%;10%;Comprar minha casa;Diariamente  e analiso para planejar-me;Conheço mas não utilizo;0;Construir/ comprar a casa própria;Abaixo de 24 meses com prestação em dia;0%;Não;1;Em aulas na universidade;Satisfatório
10/4/2018 21:55:51;Masculino;De 26 a 30 anos;Casado (a)/União Estável;1;Ensino Médio Completo;Cabo;Mais de 10 anos;8;2;1;0;;0;;3;2;10%;0%;Para certas emergências;Raramente e não analiso os grupos;Conheço mas não utilizo;4 ou mais;Comprar carro/moto, Pagar uma dívida;Abaixo de 24 meses com dificuldade em liquidar;Mais de 30%;Não;1;Em casa com a família, Em conversa com amigos, Na internet, Da minha experiência prática;Inseguro
10/4/2018 21:56:54;Masculino;De 26 a 30 anos;Casado (a)/União Estável;1;Ensino Superior Completo;Cabo;Mais de 10 anos;1;3;1;0;;0;;4 ou mais;2;0%;0%;;Não registro;Não;0;Pagar uma dívida, Outro;Acima de 24 meses com prestação em dia.;30%;Sim;0;Em casa com a família;Inseguro
10/4/2018 21:58:03;Masculino;De 26 a 30 anos;Solteiro (a);0;Ensino Superior Incompleto;Cabo;Mais de 10 anos;8;2;1;0;;0;;4 ou mais;2;10%;10%;Outros fins;Não registro;Não;1;Comprar carro/moto;Acima de 24 meses com prestação em dia.;20%;Sim;1;Em casa com a família;Satisfatório
10/4/2018 21:58:22;Masculino;Acima de 30 anos;Solteiro (a);0;Ensino Superior Incompleto;Cabo;Entre 8 e 10 anos;1;4 ou mais;3;0;;0;;2;1;0%;0%;;Diariamente  e analiso para planejar-me;Não;0;Comprar carro/moto;Não tenho dívidas pessoais;0%;Não;0;Da minha experiência prática;Moderada
10/4/2018 21:59:17;Masculino;De 26 a 30 anos;Solteiro (a);1;Ensino Superior Incompleto;Cabo;Mais de 10 anos;1;2;1;0;;0;;2;2;0%;0%;;Não registro;Não;0;Construir/ comprar a casa própria;Acima de 24 meses com prestação em dia.;Mais de 30%;Sim;3;Em casa com a família, Na internet;Moderada
10/4/2018 22:00:35;Masculino;De 26 a 30 anos;Casado (a)/União Estável;0;Ensino Médio Completo;Cabo;Mais de 10 anos;1;1;0;0;;1;10%;0;1;0%;0%;;Raramente e não analiso os grupos;Conheço mas não utilizo;4 ou mais;Comprar carro/moto;Acima de 24 meses com prestação em dia.;Mais de 30%;Não;4 ou mais;Em palestras ministradas na Marinha;Inseguro
10/4/2018 22:01:39;Masculino;De 26 a 30 anos;Solteiro (a);0;Ensino Médio Completo;Cabo;Mais de 10 anos;1;3;2;0;;0;;2;1;30%;30%;Para certas emergências;Raramente e não analiso os grupos;Conheço mas não utilizo;4 ou mais;Nunca;Abaixo de 24 meses com prestação em dia;20%;Sim;2;Em casa com a família, Em conversa com amigos;Satisfatório
10/4/2018 22:03:24;Masculino;Acima de 30 anos;Casado (a)/União Estável;0;Ensino Superior Completo;Cabo;Mais de 10 anos;1;2;1;1;20%;1;10%;0;2;20%;20%;Comprar minha casa;Raramente e não analiso os grupos;Não;0;Nunca;Não tenho dívidas pessoais;0%;Sim;2;Em casa com a família;Satisfatório
10/4/2018 22:04:28;Masculino;Acima de 30 anos;Solteiro (a);0;Ensino Superior Completo;Cabo;Mais de 10 anos;1;3;2;0;;0;;1;1;0%;0%;;Raramente e não analiso os grupos;Não;4 ou mais;Outro;Não tenho dívidas pessoais;0%;Não;1;Em casa com a família;Moderada
10/4/2018 22:05:26;Masculino;Acima de 30 anos;Solteiro (a);0;Ensino Médio Completo;Cabo;Mais de 10 anos;1;2;1;0;;0;;1;1;0%;0%;;Não registro;Conheço mas não utilizo;2;Pagar uma dívida;Acima de 24 meses com prestação em dia.;Mais de 30%;Sim;2;Em casa com a família;Moderada
10/4/2018 22:06:35;Masculino;De 26 a 30 anos;Solteiro (a);0;Ensino Superior Completo;Cabo;Mais de 10 anos;1;3;2;0;;0;;1;2;0%;0%;;Raramente e não analiso os grupos;Sim. Já utilizei por algum tempo;0;Construir/ comprar a casa própria;Acima de 24 meses com prestação em dia.;Mais de 30%;Não;0;Em conversa com amigos, Em revistas, livros, TV e rádio, Da minha experiência prática;Satisfatório
10/4/2018 22:06:53;Masculino;De 26 a 30 anos;Casado (a)/União Estável;1;Ensino Médio Completo;Cabo;Mais de 10 anos;5;2;0;0;;0;;2;1;0%;0%;Outros fins;Diariamente  e analiso para planejar-me;Sim. Já utilizei por algum tempo;0;Comprar carro/moto;Acima de 24 meses com prestação em dia.;30%;Não;0;Em revistas, livros, TV e rádio, Na internet, Da minha experiência prática;Satisfatório
10/4/2018 22:09:28;Masculino;Acima de 30 anos;Casado (a)/União Estável;0;Ensino Superior Incompleto;Cabo;Mais de 10 anos;1;1;0;0;;0;;1;1;10%;0%;Outros fins;Diariamente  e analiso para planejar-me;Utilizo e são muito úteis para a minha vida;0;Comprar carro/moto;Não tenho dívidas pessoais;0%;Não;4 ou mais;Na internet;Satisfatório
10/4/2018 22:09:58;Masculino;De 26 a 30 anos;Casado (a)/União Estável;1;Ensino Superior Incompleto;Cabo;Mais de 10 anos;4;3;2;2;;0;;1;1;10%;10%;Comprar minha casa, Para certas emergências;Diariamente  e analiso para planejar-me;Utilizo e são muito úteis para a minha vida;0;Comprar carro/moto;Não tenho dívidas pessoais;0%;Não;1;Da minha experiência prática;Satisfatório
10/4/2018 22:11:03;Masculino;De 26 a 30 anos;Casado (a)/União Estável;2;Ensino Médio Completo;Cabo;Entre 8 e 10 anos;1;3;0;4 ou mais;50%;1;15%;1;1;0%;0%;;Diariamente  e analiso para planejar-me;Utilizo e são muito úteis para a minha vida;4 ou mais;Outro;Acima de 24 meses com dificuldade em liquidar;Mais de 30%;Sim;1;Em casa com a família;Inseguro
10/4/2018 22:12:41;Masculino;De 26 a 30 anos;Casado (a)/União Estável;0;Ensino Superior Incompleto;Cabo;Entre 8 e 10 anos;1;1;0;0;;1;5%;1;2;0%;0%;Outros fins;Diariamente  e analiso para planejar-me;Não;3;Construir/ comprar a casa própria;Acima de 24 meses com prestação em dia.;Mais de 30%;Sim;0;Em conversa com amigos;Moderada
10/4/2018 22:13:21;Masculino;De 26 a 30 anos;Casado (a)/União Estável;3;Ensino Superior Completo;Cabo;Entre 8 e 10 anos;5;4 ou mais;0;0;;0;;0;1;0%;0%;;Diariamente  e analiso para planejar-me;Sim. Já utilizei por algum tempo;0;Comprar carro/moto;Acima de 24 meses com prestação em dia.;0%;Não;1;Da minha experiência prática;Moderada
10/4/2018 22:14:49;Masculino;De 26 a 30 anos;Casado (a)/União Estável;1;Ensino Superior Completo;Cabo;Entre 8 e 10 anos;1;1;1;0;;1;20%;0;1;0%;0%;;Não registro;Não;4 ou mais;Pagar uma dívida;Acima de 24 meses com dificuldade em liquidar;10%;Não;2;Em aulas na universidade;Moderada
10/4/2018 22:15:04;Masculino;De 26 a 30 anos;Solteiro (a);0;Ensino Médio Completo;Cabo;Mais de 10 anos;4;0;0;0;;0;;2;1;0%;0%;Outros fins;Não registro;Não;4 ou mais;Pagar uma dívida;Acima de 24 meses com prestação em dia.;Mais de 30%;Não;0;Da minha experiência prática;Inseguro
10/4/2018 22:16:12;Masculino;Acima de 30 anos;Casado (a)/União Estável;4 ou mais;Ensino Médio Completo;Cabo;Mais de 10 anos;1;4 ou mais;0;0;;0;;1;1;10%;10%;Para certas emergências;Diariamente  e analiso para planejar-me;Não;0;Comprar carro/moto;Acima de 24 meses com prestação em dia.;Mais de 30%;Não;4 ou mais;Da minha experiência prática;Satisfatório
